Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
"Technika marketingowa zwiększająca zyski z jednej transakcji poprzez oferowanie klientowi produktów lub usług o wyższej cenie, wyższym standardzie lub większej liczbie funkcji, to:",up-selling,cross-selling,marketing mix,technika maksymalizacji korzyści
Strategia penetracji rynku polega na:,zwiększeniu sprzedaży obecnych produktów na dotychczasowym rynku,poszerzeniu działalności i wejściu w sektor dostawców,wejściu na nowe rynki geograficzne z dotychczasowym modelem biznesowym,wprowadzeniu innowacyjnych produktów
Autorem koncepcji marketingu mix jest:,Philip Kotler,Michael Porter,Alexander Osterwalder,David Ricardo
"Korzyści i funkcjonalności, które są główną przyczyną, dla której klient dokonuje zakupu produktu, stanowią:",rdzeń produktu,produkt rzeczywisty,produkt wzbogacony,produkt poszerzony
Opakowanie produktu jest częścią:,produktu rzeczywistego,produktu wzbogaconego,wyłącznie strategii promocji,wyłącznie strategii dystrybucji
"Dodatkowe korzyści i usługi podnoszące wartość produktu, takie jak gwarancja, instalacja czy obsługa posprzedażowa, stanowią:",produkt wzbogacony,rdzeń produktu,produkt rzeczywisty,opakowanie
"W modelu 4C, będącym przełożeniem 4P na perspektywę klienta, element „Cost” oznacza:","całkowity nakład ponoszony przez konsumenta, obejmujący cenę, ale też czas i wysiłek",wyłącznie cenę produktu podaną w cenniku,koszt produkcji ponoszony przez firmę,koszt promocji i reklamy produktu
"Strategia cenowa polegająca na stosowaniu zawyżonych cen w początkowej fazie sprzedaży nowości technologicznych, a następnie ich stopniowym obniżaniu, to strategia:",spijania śmietanki (skimming),penetracji rynku,długiego ogona,dyskryminacji cenowej
"Model sprzedaży oparty na łączeniu przychodów z popularnych hitów oraz wielu niszowych produktów sprzedawanych w mniejszych ilościach (np. model Netflixa), to strategia:",długiego ogona,penetracji rynku,spijania śmietanki,dyskryminacji cenowej
"Oferowanie klientowi dodatkowych, uzupełniających produktów pasujących do jego zakupu (np. etui do telefonu), nazywamy:",cross-sellingiem (sprzedażą krzyżową),up-sellingiem,merchandisingiem,dyskryminacją cenową
"Strategia relacji z klientem, w której to klient musi w pełni dostosować się do sposobu działania firmy (np. sztywne godziny otwarcia i jeden standardowy formularz), nazywana jest strategią:",agrafki,rzepa,zamka błyskawicznego,penetracji
"Koncepcja zarządzania relacjami z klientami, wykorzystująca bazy danych do utrzymania stałego, spersonalizowanego kontaktu z klientem, to:",CRM,MBO,BMC,KCS
"Strategia marki, w której jedna wspólna nazwa obejmuje wiele różnych produktów firmy (np. Samsung czy Philips), nazywana jest strategią marki:",parasolowej,indywidualnej,hybrydowej,co-brandingu
"Wykorzystanie dwóch silnych, niezależnych marek w jednym produkcie w celu dotarcia do nowych grup odbiorców (np. Lody Koral × Ekipa) nazywa się:",co-brandingiem,marką parasolową,marką indywidualną,marką hybrydową
"Wskaźnik określający procent respondentów, którzy jako pierwszą markę w danej kategorii produktów wskazują badaną markę, to wskaźnik:",TOM (Top of Mind),spontanicznej świadomości marki,CTR,CR
Model AIDA opisujący cztery etapy oddziaływania reklamy na konsumenta obejmuje kolejno:,"Attention, Interest, Desire, Action","Attention, Desire, Interest, Action","Interest, Attention, Action, Desire","Action, Desire, Interest, Attention"
"Działania marketingowe prowadzone w mediach tradycyjnych i masowych (telewizja, radio, prasa), docierające do milionów przypadkowych odbiorców naraz, nazywamy marketingiem typu:",ATL (Above The Line),BTL (Below The Line),ambient,wirusowym
"Niskobudżetowy rodzaj marketingu mający na celu wywołanie dużego rozgłosu i emocjonalnego zaangażowania odbiorców (np. naklejki imitujące rozlaną kawę prowadzące do kawiarni), nazywa się marketingiem:",partyzanckim,wirusowym,relacji,szeptanym
"Sztuczka sprzedażowa polegająca na przedstawieniu najpierw bardzo drogiego wariantu produktu, dzięki czemu kolejny, obiektywnie wciąż drogi produkt wydaje się atrakcyjną okazją cenową, nazywa się techniką:",kontrastu,warunkowania klasycznego,merchandisingu,up-sellingu
"Etap ewolucji marketingu, w którym reklama odwołuje się do wartości, emocji i etyki, a nie tylko do samego produktu czy zadowolenia klienta, to marketing:",3.0,1.0,2.0,4.0
W segmentacji klientów według rentowności klienci generujący dla firmy straty (nierentowni) nazywani są klientami:,ołowianymi,żelaznymi,złotymi,platynowymi
"Całkowity szacowany zysk netto, jaki pojedynczy klient wygeneruje dla przedsiębiorstwa w ciągu całego okresu trwania relacji biznesowej, to wskaźnik:",LTV (Customer Lifetime Value),CAC,CR,CTR
Stosunek LTV do CAC na poziomie 3:1 lub wyższym jest ogólnie uznawany za wskaźnik:,zdrowego i skalowalnego modelu biznesowego,"modelu nieefektywnego, w którym pozyskanie klienta kosztuje więcej niż on generuje",progu rentowności jednostkowej bez możliwości rozwoju,zbyt ostrożnej polityki marketingowej firmy
"Wyrażony procentowo stosunek liczby pożądanych akcji użytkowników (np. zakupów) do liczby sytuacji, w których mogły one zostać zrealizowane (np. liczby wizyt na stronie), to wskaźnik:",CR (Conversion Rate),CTR (Click-Through Rate),LTV,CAC
"Model płatności reklamowej, w którym reklamodawca płaci wyłącznie za każde 1000 wyświetleń reklamy, niezależnie od kliknięć czy reakcji, to model:",CPM (Cost-Per-Mille),PPC (Pay-Per-Click),CPA (Cost-Per-Action),PPL (Pay-Per-Lead)
"Metoda eksperymentalna, w której użytkownicy są losowo dzieleni na grupy widzące różne wersje tego samego przekazu marketingowego, przy czym warianty powinny różnić się tylko jednym elementem, to:",test A/B,analiza ABC,badanie FGI,metoda delficka
"Złota reguła bilansowa oznacza, że majątek trwały jest:",finansowany z kapitałów własnych firmy,w całości finansowany ze zobowiązań bieżących,finansowany z kapitałów stałych,finansowany z kapitałów obcych
"Model biznesowy polegający na outsourcingu aktywności niekluczowych dla firmy i budowaniu platformy koordynującej niezależnych partnerów (np. Uber czy Airbnb), to model:",dyrygenta,integratora,operatora,organizacji wirtualnej
"Przedsiębiorstwo opierające swoją przewagę konkurencyjną głównie na zasobach niematerialnych, takich jak reputacja, relacje z kontrahentami oraz elastyczność działania, to:",organizacja wirtualna,model dyrygenta,model integratora,model operatora
"Producent samochodów elektrycznych, który samodzielnie produkuje baterie, silniki i oprogramowanie zamiast kupować je od zewnętrznych dostawców, realizuje model:",integratora,dyrygenta,operatora,organizacji wirtualnej
"Firma logistyczna specjalizująca się wyłącznie w transporcie chłodniczym, niezajmująca się ani produkcją, ani sprzedażą przewożonych towarów, realizuje model:",operatora,integratora,dyrygenta,organizacji wirtualnej
Nazwa kaizen oznacza:,filozofię działania związaną z ciągłym samodoskonaleniem,dostosowanie poziomu zatrudnienia do celów organizacji,kompleksowe zarządzanie jakością,przeprojektowanie procesu pracy (radykalne lub skokowe)
"Który z modeli zarządzania firmą zakłada, że wszyscy członkowie organizacji uznawani są za równych – bez żadnej hierarchii, każdy pracownik decyduje za siebie i sam ponosi odpowiedzialność za wszelkie wykonywane działania?",turkusowy,zielony,bursztynowy,czerwony
"W koncepcji turkusowego zarządzania postuluje się, by zastąpić archetyp marchewki i kija archetypem:",słońca i deszczu,wędrowca i maga,ojca i matki,męczennika i wojownika
Metoda doskonalenia przedsiębiorstwa polegająca na uczeniu się od najlepszych to:,benchmarking,metoda ścieżki krytycznej,metoda przypadków krytycznych,analiza luki strategicznej
Benchmarking to:,proces porównywania własnej firmy z konkurentami i innymi firmami,analiza porównawcza firm tylko wewnętrzna,wywiad konkurencyjny przeprowadzany bez zgody innych firm,analiza wewnętrzna bez porównywania z innymi organizacjami
Business process reengineering jest definiowany jako:,fundamentalne przemyślenie od nowa i gruntowne przeprojektowanie procesów przebiegających w firmie prowadzące do radykalnej poprawy osiąganych wyników,metoda zarządzania w czasie,"kompleksowe zarządzanie jakością, które stanowi filozofię skoncentrowaną na uzyskaniu możliwie najwyższej jakości wszystkich procesów i działań",zarządzanie relacjami z klientem
"Małe zespoły pracownicze wykonujące zadania związane z ustawicznym doskonaleniem firmy, a także podnoszeniem wiedzy i umiejętności członków nazywane są:",inkubatorami jakości,komórkami innowacyjnymi,kołami jakości,grupami prorozwojowymi
"Koncepcja szczupłego zarządzania, wywodząca się z japońskiego systemu produkcyjnego Toyoty, polegająca na eliminacji marnotrawstwa i uproszczeniu procesów, to:",Lean Management,TQM,BPR,TBM
"Koncepcja ciągłego doskonalenia organizacji, zakładająca że żaden dzień nie powinien minąć bez drobnej poprawy w funkcjonowaniu firmy, będąca filarem zarówno TQM, jak i Lean Management, to:",Kaizen,benchmarking,reengineering,outsourcing
"Grupa pracowników tego samego szczebla w firmie, regularnie spotykająca się dobrowolnie, aby analizować i rozwiązywać problemy codziennej pracy, bez udziału przełożonego, to:",koło jakości,inkubator jakości,zespół projektowy,komitet sterujący
"W odróżnieniu od koła jakości, inkubator jakości:",jest prowadzony jednocześnie przez lidera i moderatora oraz kładzie nacisk na rozwój umiejętności pracowników (action learning),nie wymaga żadnego przywództwa i działa w pełni samoorganizująco,"jest prowadzony wyłącznie przez jednego, stałego lidera",koncentruje się wyłącznie na kwestiach finansowych firmy
Kompleksowe Zarządzanie Jakością (TQM) opiera się m.in. na założeniu:,powszechnego uczestnictwa wszystkich pracowników w procesie ciągłego doskonalenia,całkowitej centralizacji decyzji jakościowych w rękach jednego działu kontroli jakości,koncentracji wyłącznie na wynikach finansowych firmy,wyłączenia klientów z procesu oceny jakości
"System skupiający się na analizie ryzyka i kontroli czystości higienicznej w branży spożywczej, będący jednym z instrumentów zarządzania jakością obok TQM i norm ISO, to:",HACCP,BPR,TBM,Kaizen
"Autorami koncepcji Business Process Reengineering (BPR), zakładającej radykalne przeprojektowanie procesów w firmie, są:",Michael Hammer i James Champy,Frederic Laloux i Andrzej Blikle,Kaplan i Norton,Osterwalder i Pigneur
W ramach reengineeringu (BPR) osobne działy funkcjonalne firmy zastępowane są przez:,zespoły odpowiedzialne za cały proces od początku do końca,"pojedynczych, wysoko wyspecjalizowanych ekspertów działających niezależnie","jeszcze bardziej rozdrobnione, wąskie komórki funkcjonalne",zewnętrzne firmy konsultingowe przejmujące całą działalność
"Koncepcja Time-Based Management (TBM), opracowana przez Boston Consulting Group, dąży do zbudowania przewagi konkurencyjnej w oparciu o:",skrócenie czasu realizacji procesów (kompresję czasu),obniżenie cen produktów poniżej poziomu konkurencji,maksymalizację liczby wariantów oferowanego produktu,zwiększenie liczby szczebli hierarchii zarządzania
W zarządzaniu turkusowym (koncepcji Fredrica Laloux) tradycyjny system kar i nagród („kij i marchewka”) zastępowany jest archetypem:,"słońca i deszczu, obrazującym naturalne konsekwencje działania danej osoby",chleba i igrzysk,marchewki i kija w podwójnej dawce,zysku i straty
"Rodzaj benchmarkingu polegający na porównywaniu podobnych funkcji i procesów w zupełnie innych branżach, gdzie wzorem może być firma spoza własnego sektora, to benchmarking:",funkcjonalny,wewnętrzny,konkurencyjny,strategiczny
"Rodzaj benchmarkingu polegający na porównaniu własnych procesów i wyników między różnymi działami tej samej organizacji, to benchmarking:",wewnętrzny,konkurencyjny,funkcjonalny,strategiczny
"Wiedza związana z osobistym doświadczeniem, intuicją i praktycznymi umiejętnościami pracownika, trudna do sformułowania i zapisania w tradycyjny sposób (np. w podręczniku), to wiedza:",ukryta,jawna (formalna),strukturalna,deklaratywna
"Koncepcja life-long learning zakłada ciągłe podnoszenie kwalifikacji przez całe życie zawodowe, w przeciwieństwie do tradycyjnego modelu kariery przypisywanego korporacjom japońskim, opartego na:",spędzeniu całego życia zawodowego w jednej firmie i awansowaniu wyłącznie na podstawie stażu pracy,częstej zmianie pracodawców i stałej rywalizacji o awans,pracy wyłącznie w oparciu o krótkoterminowe kontrakty projektowe,całkowitym braku formalnej struktury kariery zawodowej
"W ocenie projektów inwestycyjnych zalecane jest, aby wskaźnik NPV (net present value – wartość zaktualizowana netto):",był większy od zera,był mniejszy niż cena,był równy zeru,miał wartość ujemną
"Jeśli na podstawie rzetelnie przeprowadzonej analizy średni ważony koszt kapitału (WACC) jest wyższy niż oczekiwana stopa dochodu z projektu, oznacza to, że:",nie powinno się realizować tego projektu,wydatki związane z projektem mogą zostać zwiększone,został osiągnięty próg rentowności,należy przeprowadzić ponowną kalkulację
"W biznesplanie projektu Alfa wskaźnik NPV wynosi 500 tys. zł. Oznacza to, że:",inwestycja w badanym okresie przyniesie 500 tys. zysku z uwzględnieniem zmienności wartości pieniądza w czasie,inwestycja w badanym okresie przyniesie 500 tys. zysku bez uwzględnienia zmienności wartości pieniądza w czasie,inwestycja wymaga 500 tys. zł nakładów,inwestycja osiągnie próg rentowności przy przychodach ze sprzedaży wynoszących 500 tys. zł
"Wartość przyszła kapitału (FV), pokazująca ile będą warte pieniądze po upływie określonego czasu przy danej stopie procentowej, oblicza się według wzoru:",FV = PV × (1+r)ⁿ,FV = PV / (1+r)ⁿ,FV = PV × r × n,FV = PV + r × n
"Masz dziś 100 zł, a lokata w banku daje 5% w skali roku. Jaka będzie wartość Twojego kapitału (FV) po roku?",105zł,100zł,110zł,95zł
"Proces obliczania dzisiejszej wartości pieniędzy, które otrzymamy w przyszłości, nazywamy:",dyskontowaniem,kapitalizowaniem,amortyzowaniem,dewaluowaniem
"Kolega obiecuje oddać Ci 121 zł za dwa lata, a lokaty w banku dają 10% rocznie. Ile ta obietnica jest warta dzisiaj (PV)?",100zł,121zł,110zł,90zł
